ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,ycp,ysrcp,chandrababu,suprem court
Kl716JI5prc,2021-10-23,-0.9994192123413086,11875.0,Sakshi,393.0,60.0,chitoor_l.png,Nallakonda Gari Reddeppa,YSRCP,Chittoor_sc,0,0,1,1
CjH9qxWu0ag,2021-10-28,-0.995141625404358,9261.0,Sakshi,288.0,36.0,chitoor_l.png,Nallakonda Gari Reddeppa,YSRCP,Chittoor_sc,1,1,0,0
0vFi0ctpoXE,2021-12-10,0.9973892569541932,3861.0,Sakshi,574.0,7.0,chitoor_l.png,Nallakonda Gari Reddeppa,YSRCP,Chittoor_sc,0,1,0,0
_OY0BG2-dfA,2021-12-10,-0.9994237422943116,2960.0,Sakshi,251.0,2.0,chitoor_l.png,Nallakonda Gari Reddeppa,YSRCP,Chittoor_sc,1,1,0,0
o_xoQEynBVw,2021-12-10,-0.9968923926353456,1824.0,Sakshi,254.0,12.0,chitoor_l.png,Nallakonda Gari Reddeppa,YSRCP,Chittoor_sc,1,1,0,0
GHsXNdpzquk,2021-12-27,0.9951632022857666,7621.0,Sakshi,157.0,39.0,chitoor_l.png,Nallakonda Gari Reddeppa,YSRCP,Chittoor_sc,0,1,1,1
ze9mquPEzkk,2022-02-05,0.9983910322189332,20758.0,Sakshi,262.0,63.0,chitoor_l.png,Nallakonda Gari Reddeppa,YSRCP,Chittoor_sc,0,0,0,0
31ITM7pYJnA,2022-04-01,0.993171215057373,23835.0,Sakshi,348.0,19.0,chitoor_l.png,Nallakonda Gari Reddeppa,YSRCP,Chittoor_sc,0,0,1,0
Damsg_GFgyY,2022-05-17,0.995335042476654,189190.0,Sakshi,445.0,422.0,chitoor_l.png,Nallakonda Gari Reddeppa,YSRCP,Chittoor_sc,0,0,0,0
vl5wyponECM,2022-06-01,0.9981125593185424,5598.0,Sakshi,250.0,7.0,chitoor_l.png,Nallakonda Gari Reddeppa,YSRCP,Chittoor_sc,1,1,0,0
LKRw2Iilszo,2022-09-20,0.9937545657157898,1650.0,TV5,530.0,3.0,chitoor_l.png,Nallakonda Gari Reddeppa,YSRCP,Chittoor_sc,0,0,0,0
S3762F3GrlQ,2022-09-20,-0.9928023219108582,1073.0,TV5,580.0,3.0,chitoor_l.png,Nallakonda Gari Reddeppa,YSRCP,Chittoor_sc,1,0,0,0
ZSJlhskD-Hc,2022-09-27,0.988989531993866,2035.0,Sakshi,115.0,0.0,chitoor_l.png,Nallakonda Gari Reddeppa,YSRCP,Chittoor_sc,0,1,0,0
-jGBT3QQjOY,2022-10-18,-0.9982654452323914,2133.0,ABN,250.0,5.0,chitoor_l.png,Nallakonda Gari Reddeppa,YSRCP,Chittoor_sc,0,0,0,0
AGizgYef9gk,2022-11-18,-0.9985817670822144,20305.0,ABN,425.0,12.0,chitoor_l.png,Nallakonda Gari Reddeppa,YSRCP,Chittoor_sc,0,0,0,0
372k-V2NiW4,2022-11-18,-0.994881272315979,4092.0,ABN,245.0,11.0,chitoor_l.png,Nallakonda Gari Reddeppa,YSRCP,Chittoor_sc,0,0,0,1
3yVTxphBUQY,2022-11-18,-0.997875452041626,2704.0,ABN,370.0,5.0,chitoor_l.png,Nallakonda Gari Reddeppa,YSRCP,Chittoor_sc,0,0,0,0
y855bEq-ymA,2022-11-18,0.9935426712036132,10354.0,ABN,420.0,15.0,chitoor_l.png,Nallakonda Gari Reddeppa,YSRCP,Chittoor_sc,0,0,0,0
KImxeBUWT_k,2022-11-20,-0.9952003955841064,175449.0,TV9,473.0,609.0,chitoor_l.png,Nallakonda Gari Reddeppa,YSRCP,Chittoor_sc,0,0,0,0
AOl5gOiBlPo,2022-11-22,-0.9954522252082824,11456.0,ABN,490.0,16.0,chitoor_l.png,Nallakonda Gari Reddeppa,YSRCP,Chittoor_sc,0,0,0,0
LfVBB4xUNFU,2022-11-22,0.993442177772522,8225.0,ABN,495.0,31.0,chitoor_l.png,Nallakonda Gari Reddeppa,YSRCP,Chittoor_sc,0,0,0,0
tiJMDRcl-nE,2022-11-22,-0.9992703795433044,640.0,ABN,370.0,0.0,chitoor_l.png,Nallakonda Gari Reddeppa,YSRCP,Chittoor_sc,0,0,0,1
9TfR2rm3pTY,2022-11-23,-0.9994474053382874,3191.0,Sakshi,192.0,14.0,chitoor_l.png,Nallakonda Gari Reddeppa,YSRCP,Chittoor_sc,1,1,1,1
4u0NAAB3z7A,2022-12-06,-0.995017111301422,2513.0,Sakshi,176.0,24.0,chitoor_l.png,Nallakonda Gari Reddeppa,YSRCP,Chittoor_sc,0,0,1,0
U1xpFudo-X0,2022-12-08,0.9979731440544128,13819.0,Sakshi,146.0,19.0,chitoor_l.png,Nallakonda Gari Reddeppa,YSRCP,Chittoor_sc,1,1,0,0
aVtMrTeG0Fk,2022-12-15,0.9432969689369202,1116.0,ABN,280.0,0.0,chitoor_l.png,Nallakonda Gari Reddeppa,YSRCP,Chittoor_sc,0,0,0,1
JSTq1RB06_U,2022-12-16,-0.9956048727035522,3047.0,ABN,525.0,4.0,chitoor_l.png,Nallakonda Gari Reddeppa,YSRCP,Chittoor_sc,0,0,0,0
tFz4nbzFrSs,2022-12-20,-0.9987748265266418,1269.0,TV9,462.0,5.0,chitoor_l.png,Nallakonda Gari Reddeppa,YSRCP,Chittoor_sc,0,0,0,0
QN8WsMpJ2sE,2022-12-22,0.9981393814086914,3869.0,TV9,135.0,9.0,chitoor_l.png,Nallakonda Gari Reddeppa,YSRCP,Chittoor_sc,0,0,0,1
Poa410admxM,2022-12-27,0.993099570274353,28476.0,Sakshi,529.0,69.0,chitoor_l.png,Nallakonda Gari Reddeppa,YSRCP,Chittoor_sc,0,0,0,0
LoSOnEIJDxU,2023-01-11,-0.9992353916168212,2387.0,Sakshi,128.0,13.0,chitoor_l.png,Nallakonda Gari Reddeppa,YSRCP,Chittoor_sc,0,0,1,0
k_NO1Y5ckzw,2023-01-18,-0.9910654425621032,981.0,TV9,80.0,1.0,chitoor_l.png,Nallakonda Gari Reddeppa,YSRCP,Chittoor_sc,1,1,0,0
tQcEjcZKRQM,2023-01-19,-0.992508351802826,34879.0,Sakshi,484.0,89.0,chitoor_l.png,Nallakonda Gari Reddeppa,YSRCP,Chittoor_sc,1,0,1,0
o6BudOEPIc0,2023-01-20,-0.9983783960342408,789.0,Sakshi,390.0,1.0,chitoor_l.png,Nallakonda Gari Reddeppa,YSRCP,Chittoor_sc,0,0,1,0
Iaqyonn2tBo,2023-01-27,0.998324453830719,21248.0,ABN,220.0,13.0,chitoor_l.png,Nallakonda Gari Reddeppa,YSRCP,Chittoor_sc,0,0,0,0
sFhQ35_sUtQ,2023-01-30,-0.9979110360145568,13612.0,ABN,365.0,18.0,chitoor_l.png,Nallakonda Gari Reddeppa,YSRCP,Chittoor_sc,0,0,0,1
X5Uvz1CGt9M,2023-01-30,-0.9943990111351012,58633.0,ABN,310.0,81.0,chitoor_l.png,Nallakonda Gari Reddeppa,YSRCP,Chittoor_sc,1,1,0,1
gpZSMt8vqxI,2023-02-09,0.9972487092018129,11025.0,ABN,385.0,4.0,chitoor_l.png,Nallakonda Gari Reddeppa,YSRCP,Chittoor_sc,0,0,0,0
OGLK8CAlRig,2023-02-09,-0.9945003986358644,2735.0,ABN,330.0,1.0,chitoor_l.png,Nallakonda Gari Reddeppa,YSRCP,Chittoor_sc,0,0,0,0
G_moRk93iJw,2023-02-20,-0.9985530972480774,1207.0,ABN,370.0,1.0,chitoor_l.png,Nallakonda Gari Reddeppa,YSRCP,Chittoor_sc,0,0,0,0
HwyEuwLGy3U,2023-02-20,-0.9988883137702942,5504.0,ABN,575.0,7.0,chitoor_l.png,Nallakonda Gari Reddeppa,YSRCP,Chittoor_sc,0,0,0,0
R-xAyRSxMs0,2023-02-24,0.9858065247535706,2705.0,TV9,298.0,8.0,chitoor_l.png,Nallakonda Gari Reddeppa,YSRCP,Chittoor_sc,0,0,1,0
4ELtGH2Jzk0,2023-02-27,-0.9979173541069032,3245.0,ABN,200.0,2.0,chitoor_l.png,Nallakonda Gari Reddeppa,YSRCP,Chittoor_sc,0,0,0,1
vZfqvQ6h5uI,2023-03-04,0.9985920786857604,6839.0,Sakshi,273.0,11.0,chitoor_l.png,Nallakonda Gari Reddeppa,YSRCP,Chittoor_sc,0,0,1,0
0kdlwsITe8w,2023-03-04,0.9973336458206176,1957.0,TV9,160.0,0.0,chitoor_l.png,Nallakonda Gari Reddeppa,YSRCP,Chittoor_sc,0,0,1,0
9OdNTZCbf8M,2023-03-11,0.9957306981086732,1361.0,Sakshi,157.0,2.0,chitoor_l.png,Nallakonda Gari Reddeppa,YSRCP,Chittoor_sc,0,1,1,0
chpCe0ZUsl8,2023-04-01,-0.9966478943824768,1306.0,TV9,83.0,6.0,chitoor_l.png,Nallakonda Gari Reddeppa,YSRCP,Chittoor_sc,0,0,0,0
