ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,cm jagan,chandrababu,pawan kalyan,AP ,janasena party,alliance,yuvashakti,tadepalli,suprem court,ap development,tadipatri,nandigama
fA8qXpBKt4g,2020-03-11,-0.9982118606567384,13482.0,Sakshi,456.0,20.0,baptla_l.png,Nandigam Suresh,YSRCP,Baptla_sc,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
jS2kcqDhvnE,2021-11-03,-0.990413248538971,1882.0,Sakshi,99.0,4.0,baptla_l.png,Nandigam Suresh,YSRCP,Baptla_sc,1,1,1,0,1,1,0,1,0,0,0,0,0,0,1
dhxq8TfxAU4,2021-11-03,-0.983182430267334,3481.0,Sakshi,400.0,5.0,baptla_l.png,Nandigam Suresh,YSRCP,Baptla_sc,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
zgSTSMlNmUs,2021-11-03,-0.9968274235725404,2678.0,Sakshi,272.0,10.0,baptla_l.png,Nandigam Suresh,YSRCP,Baptla_sc,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1
wcZPMmKTf_w,2021-12-07,-0.9977445602416992,31218.0,Sakshi,141.0,93.0,baptla_l.png,Nandigam Suresh,YSRCP,Baptla_sc,0,1,1,1,0,0,0,0,0,1,0,1,0,0,1
exd6OFRQASo,2022-04-30,-0.9979324340820312,80179.0,Sakshi,249.0,188.0,baptla_l.png,Nandigam Suresh,YSRCP,Baptla_sc,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
XYZAmEVdaf8,2022-07-07,0.9980459213256836,4443.0,Sakshi,404.0,3.0,baptla_l.png,Nandigam Suresh,YSRCP,Baptla_sc,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
Z2oPQU4V_aM,2022-07-08,0.9971038699150084,50831.0,Sakshi,491.0,81.0,baptla_l.png,Nandigam Suresh,YSRCP,Baptla_sc,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
q90_dXtkA2E,2022-07-09,0.9987615346908568,157459.0,Sakshi,485.0,187.0,baptla_l.png,Nandigam Suresh,YSRCP,Baptla_sc,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
KjoRIiA5waY,2022-08-22,0.995457410812378,917.0,TV5,475.0,1.0,baptla_l.png,Nandigam Suresh,YSRCP,Baptla_sc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GHCqiol78is,2022-09-01,-0.998778760433197,5535.0,TV5,233.0,12.0,baptla_l.png,Nandigam Suresh,YSRCP,Baptla_sc,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
yYk0LOKdXqo,2022-10-12,-0.9953792095184326,1386.0,Sakshi,229.0,3.0,baptla_l.png,Nandigam Suresh,YSRCP,Baptla_sc,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0
uSVtI8m4XKo,2022-10-26,-0.9914463758468628,38725.0,Sakshi,492.0,85.0,baptla_l.png,Nandigam Suresh,YSRCP,Baptla_sc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nnh8JoAFg4E,2022-11-18,0.9947565793991088,40021.0,Sakshi,311.0,116.0,baptla_l.png,Nandigam Suresh,YSRCP,Baptla_sc,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
eDq6AbKw6rc,2022-12-10,-0.9987592697143556,4164.0,TV9,250.0,20.0,baptla_l.png,Nandigam Suresh,YSRCP,Baptla_sc,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0
M1wOAvGLcCc,2022-12-10,-0.9922888875007628,1329.0,TV9,208.0,2.0,baptla_l.png,Nandigam Suresh,YSRCP,Baptla_sc,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0
3aAsi9PGW_w,2022-12-10,-0.9974297881126404,10545.0,TV9,250.0,32.0,baptla_l.png,Nandigam Suresh,YSRCP,Baptla_sc,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0
itoZZcDX23M,2022-12-10,0.9978744983673096,3887.0,TV9,350.0,11.0,baptla_l.png,Nandigam Suresh,YSRCP,Baptla_sc,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
Wgr2sD8XpfA,2022-12-10,-0.9898472428321838,3365.0,TV9,154.0,2.0,baptla_l.png,Nandigam Suresh,YSRCP,Baptla_sc,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Ll3geiJURQ8,2022-12-30,-0.9990230798721312,1477.0,Sakshi,114.0,1.0,baptla_l.png,Nandigam Suresh,YSRCP,Baptla_sc,0,0,1,0,1,0,0,0,0,1,1,1,0,1,1
pOxMr0-5Ao0,2023-01-05,-0.9961771965026855,3274.0,TV9,131.0,1.0,baptla_l.png,Nandigam Suresh,YSRCP,Baptla_sc,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
ejHfyK5UpZY,2023-01-05,-0.9985774755477904,1347.0,TV9,318.0,2.0,baptla_l.png,Nandigam Suresh,YSRCP,Baptla_sc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HL2NznspI60,2023-01-05,-0.9968860745429992,40857.0,Sakshi,484.0,188.0,baptla_l.png,Nandigam Suresh,YSRCP,Baptla_sc,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
PPHU6c3iKIs,2023-01-05,-0.998790204524994,1540.0,TV9,90.0,1.0,baptla_l.png,Nandigam Suresh,YSRCP,Baptla_sc,1,0,1,0,1,1,0,0,0,1,1,1,0,1,1
kLuNRKmy944,2023-01-06,-0.9979264736175536,2186.0,TV9,365.0,4.0,baptla_l.png,Nandigam Suresh,YSRCP,Baptla_sc,0,1,1,1,1,0,1,0,1,1,0,1,1,0,0
2p3tZYXzB7U,2023-01-09,-0.9984322190284728,4914.0,TV9,298.0,13.0,baptla_l.png,Nandigam Suresh,YSRCP,Baptla_sc,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0
1UNgCNV1wlQ,2023-01-09,-0.9940827488899232,1747.0,TV9,278.0,6.0,baptla_l.png,Nandigam Suresh,YSRCP,Baptla_sc,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
BtdXV9ML_t8,2023-01-09,-0.9885927438735962,16869.0,Sakshi,342.0,68.0,baptla_l.png,Nandigam Suresh,YSRCP,Baptla_sc,1,0,1,0,1,0,1,0,1,1,0,1,1,1,0
nAZQB1MQ2og,2023-01-12,-0.9971998929977416,54987.0,TV9,427.0,102.0,baptla_l.png,Nandigam Suresh,YSRCP,Baptla_sc,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
QvLG7taTCvQ,2023-01-12,0.9891371130943298,8623.0,TV9,218.0,24.0,baptla_l.png,Nandigam Suresh,YSRCP,Baptla_sc,0,0,1,0,1,1,1,0,0,1,1,1,1,1,0
mVHkrd4OLz4,2023-01-13,-0.989448070526123,6777.0,TV9,295.0,9.0,baptla_l.png,Nandigam Suresh,YSRCP,Baptla_sc,1,0,1,0,0,1,1,0,1,1,0,1,1,1,1
bUIy-xSUiOQ,2023-01-13,-0.9942078590393066,113577.0,TV9,355.0,158.0,baptla_l.png,Nandigam Suresh,YSRCP,Baptla_sc,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0
KBWaOPeToW0,2023-01-13,0.9948508143424988,7893.0,TV9,425.0,13.0,baptla_l.png,Nandigam Suresh,YSRCP,Baptla_sc,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
tFi4vL_MCOU,2023-01-13,0.9951021671295166,12891.0,TV9,346.0,20.0,baptla_l.png,Nandigam Suresh,YSRCP,Baptla_sc,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
DxeZ_6QktuI,2023-01-19,0.9988466501235962,1894.0,Sakshi,219.0,2.0,baptla_l.png,Nandigam Suresh,YSRCP,Baptla_sc,0,1,1,1,0,0,0,0,0,0,0,0,1,1,1
lELZwb_3iwg,2023-01-25,-0.989242136478424,40109.0,TV9,306.0,86.0,baptla_l.png,Nandigam Suresh,YSRCP,Baptla_sc,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
8kr1RMftfsQ,2023-01-25,0.989167332649231,7011.0,Sakshi,586.0,38.0,baptla_l.png,Nandigam Suresh,YSRCP,Baptla_sc,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
zsMB2mbkDeI,2023-01-25,-0.9892507791519164,1449.0,Sakshi,154.0,5.0,baptla_l.png,Nandigam Suresh,YSRCP,Baptla_sc,0,1,1,1,1,1,0,0,0,1,0,0,0,0,1
ftPjcjPnnvk,2023-01-25,-0.9994864463806152,19247.0,TV9,248.0,31.0,baptla_l.png,Nandigam Suresh,YSRCP,Baptla_sc,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
CkpkX3syr9U,2023-01-25,-0.9976699948310852,14650.0,TV9,223.0,11.0,baptla_l.png,Nandigam Suresh,YSRCP,Baptla_sc,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
rjzVGPS_LZY,2023-02-01,-0.9994658827781676,2030.0,TV9,186.0,3.0,baptla_l.png,Nandigam Suresh,YSRCP,Baptla_sc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
skLAnWv5wWM,2023-02-01,-0.9993733763694764,3269.0,TV9,262.0,1.0,baptla_l.png,Nandigam Suresh,YSRCP,Baptla_sc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ChrjI6cMrRI,2023-02-01,-0.9825040698051452,924.0,TV9,140.0,0.0,baptla_l.png,Nandigam Suresh,YSRCP,Baptla_sc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FbrXjBrQkKo,2023-02-02,0.9983747005462646,1273.0,Sakshi,172.0,4.0,baptla_l.png,Nandigam Suresh,YSRCP,Baptla_sc,0,1,1,1,0,0,1,0,1,1,1,1,1,1,0
aMKpGEe8Fb8,2023-02-02,0.9883737564086914,5968.0,Sakshi,388.0,15.0,baptla_l.png,Nandigam Suresh,YSRCP,Baptla_sc,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5gIOPasOVWQ,2023-02-09,0.9783771634101868,5375.0,TV9,360.0,18.0,baptla_l.png,Nandigam Suresh,YSRCP,Baptla_sc,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
4V8LboYAsZQ,2023-02-09,-0.9990703463554382,2632.0,TV9,281.0,4.0,baptla_l.png,Nandigam Suresh,YSRCP,Baptla_sc,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
s4M1BzMviMQ,2023-02-09,-0.9924282431602478,13693.0,TV9,362.0,38.0,baptla_l.png,Nandigam Suresh,YSRCP,Baptla_sc,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Ey6jSWmoofk,2023-02-09,-0.973291516304016,5868.0,TV9,362.0,10.0,baptla_l.png,Nandigam Suresh,YSRCP,Baptla_sc,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
0YcQ4sRFNc0,2023-02-09,-0.999450385570526,7880.0,TV9,234.0,17.0,baptla_l.png,Nandigam Suresh,YSRCP,Baptla_sc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aswsOHjsOY4,2023-02-09,-0.9795565605163574,5619.0,TV9,289.0,8.0,baptla_l.png,Nandigam Suresh,YSRCP,Baptla_sc,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
YSTieXXD_Hc,2023-02-09,-0.9943928718566896,5468.0,TV9,286.0,2.0,baptla_l.png,Nandigam Suresh,YSRCP,Baptla_sc,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
_3ukJtVc5fo,2023-02-20,0.9977288842201232,3145.0,ABN,199.0,3.0,baptla_l.png,Nandigam Suresh,YSRCP,Baptla_sc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PwkIKBM0SAU,2023-02-22,0.9462593197822572,619.0,TV9,274.0,0.0,baptla_l.png,Nandigam Suresh,YSRCP,Baptla_sc,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0
Ri_P6W80fq0,2023-03-02,-0.9992509484291076,527.0,TV9,321.0,2.0,baptla_l.png,Nandigam Suresh,YSRCP,Baptla_sc,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
F00n4DbxlB8,2023-03-19,-0.9987828135490416,7375.0,TV9,356.0,19.0,baptla_l.png,Nandigam Suresh,YSRCP,Baptla_sc,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
bBTdad77zgE,2023-03-19,-0.995240330696106,19688.0,TV9,331.0,51.0,baptla_l.png,Nandigam Suresh,YSRCP,Baptla_sc,1,1,1,0,0,0,1,1,1,0,1,1,0,0,1
A9K0_HdBArc,2023-03-19,-0.998653769493103,12278.0,TV9,251.0,22.0,baptla_l.png,Nandigam Suresh,YSRCP,Baptla_sc,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Y3Um1REgZJE,2023-03-24,-0.9972726702690125,10183.0,TV9,297.0,8.0,baptla_l.png,Nandigam Suresh,YSRCP,Baptla_sc,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
zsXfZBbj62s,2023-03-24,-0.9960404634475708,3057.0,TV9,207.0,2.0,baptla_l.png,Nandigam Suresh,YSRCP,Baptla_sc,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
L5evvSbasoQ,2023-03-24,-0.9921934008598328,10221.0,TV9,255.0,16.0,baptla_l.png,Nandigam Suresh,YSRCP,Baptla_sc,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
MBARb8BSMrA,2023-03-24,-0.9977253079414368,5024.0,TV9,223.0,5.0,baptla_l.png,Nandigam Suresh,YSRCP,Baptla_sc,0,1,1,0,1,0,0,0,0,0,0,1,1,0,1
8YduR5vjfBE,2023-03-24,-0.9991944432258606,5184.0,TV9,200.0,3.0,baptla_l.png,Nandigam Suresh,YSRCP,Baptla_sc,0,1,1,0,1,0,0,0,0,1,1,0,1,1,0
t3i21OGnetc,2023-03-24,-0.9905064702033995,4559.0,TV9,177.0,3.0,baptla_l.png,Nandigam Suresh,YSRCP,Baptla_sc,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
bxLqrLSJt9Y,2023-03-24,-0.989199995994568,3711.0,TV9,99.0,8.0,baptla_l.png,Nandigam Suresh,YSRCP,Baptla_sc,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0
H7rNWx9NAeA,2023-03-24,-0.9975402355194092,3521.0,TV9,179.0,2.0,baptla_l.png,Nandigam Suresh,YSRCP,Baptla_sc,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jUDagebyEaI,2023-03-24,-0.9994412064552308,13423.0,TV9,323.0,22.0,baptla_l.png,Nandigam Suresh,YSRCP,Baptla_sc,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
caazSSZAK2k,2023-03-24,-0.9993616938591005,8191.0,TV9,239.0,11.0,baptla_l.png,Nandigam Suresh,YSRCP,Baptla_sc,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UxELPHKQDH0,2023-03-25,0.9935139417648317,176002.0,Sakshi,171.0,232.0,baptla_l.png,Nandigam Suresh,YSRCP,Baptla_sc,0,0,0,1,1,0,0,0,0,1,0,1,0,0,1
NfBAyyXfY3o,2023-03-26,0.9969303011894226,4956.0,TV9,336.0,2.0,baptla_l.png,Nandigam Suresh,YSRCP,Baptla_sc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k-kaqvBxvWw,2023-03-26,-0.9943654537200928,2721.0,TV9,217.0,2.0,baptla_l.png,Nandigam Suresh,YSRCP,Baptla_sc,1,1,1,0,1,0,1,0,0,0,0,0,1,0,0
K833hNCvVM4,2023-03-26,-0.9895302653312684,4555.0,TV9,194.0,7.0,baptla_l.png,Nandigam Suresh,YSRCP,Baptla_sc,1,0,1,0,1,0,1,0,0,0,1,0,1,1,0
BdXr1ffTtb8,2023-03-26,-0.9990044236183168,2162.0,TV9,309.0,6.0,baptla_l.png,Nandigam Suresh,YSRCP,Baptla_sc,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
NIunzkts6CM,2023-03-26,-0.9983997941017152,715.0,TV9,324.0,3.0,baptla_l.png,Nandigam Suresh,YSRCP,Baptla_sc,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
sYev6tdlypA,2023-03-27,0.9977286458015442,4367.0,TV9,217.0,3.0,baptla_l.png,Nandigam Suresh,YSRCP,Baptla_sc,1,0,0,0,1,0,1,0,0,0,1,0,1,1,0
YF0a71o52CI,2023-03-29,-0.9992910623550416,426.0,TV9,61.0,2.0,baptla_l.png,Nandigam Suresh,YSRCP,Baptla_sc,0,1,1,1,1,0,0,0,0,1,1,0,1,1,1
kLd2Pamamag,2023-03-29,-0.988290309906006,827.0,TV9,272.0,0.0,baptla_l.png,Nandigam Suresh,YSRCP,Baptla_sc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
FhWDsjTlAiI,2023-03-29,-0.9994038343429564,637.0,TV9,305.0,8.0,baptla_l.png,Nandigam Suresh,YSRCP,Baptla_sc,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1
PROoCMBQxqU,2023-03-31,-0.9989429116249084,110494.0,Sakshi,277.0,252.0,baptla_l.png,Nandigam Suresh,YSRCP,Baptla_sc,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
UPQ99Yi8uq8,2023-04-04,-0.9985753297805786,2967.0,TV9,315.0,10.0,baptla_l.png,Nandigam Suresh,YSRCP,Baptla_sc,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fthlHkLM3Rk,2023-04-17,0.9940635561943054,13601.0,TV9,242.0,15.0,baptla_l.png,Nandigam Suresh,YSRCP,Baptla_sc,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
rmeeRnT_fkU,2023-04-17,0.993571400642395,7844.0,TV9,306.0,12.0,baptla_l.png,Nandigam Suresh,YSRCP,Baptla_sc,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0
JVrLh4ShRwg,2023-04-17,0.996188461780548,3435.0,TV9,183.0,7.0,baptla_l.png,Nandigam Suresh,YSRCP,Baptla_sc,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
