ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,AP ,ap assembly session today
B-1vjoXI3p8,2019-12-20,0.9936107993125916,332.0,Sakshi,534.0,2.0,santhanuyhalapadu.png,Thalathoti Jaya Ratna Sudhakar Babu,YSRCP,Santhanuthalapadu_sc,0,0,0,0,0,0,0,0
1Lb1dWJrSW0,2021-02-15,-0.9915675520896912,472.0,Sakshi,275.0,2.0,santhanuyhalapadu.png,Thalathoti Jaya Ratna Sudhakar Babu,YSRCP,Santhanuthalapadu_sc,0,0,0,0,0,0,0,0
OgkIACEhw8g,2021-11-11,-0.9962653517723083,3414.0,Sakshi,198.0,17.0,santhanuyhalapadu.png,Thalathoti Jaya Ratna Sudhakar Babu,YSRCP,Santhanuthalapadu_sc,0,1,1,0,1,1,0,1
cj-R2UOZgRA,2021-11-11,-0.998881995677948,1038.0,Sakshi,353.0,3.0,santhanuyhalapadu.png,Thalathoti Jaya Ratna Sudhakar Babu,YSRCP,Santhanuthalapadu_sc,0,1,1,0,0,1,0,0
PfxOwKNsQpg,2022-02-05,0.9985848665237428,4492.0,Sakshi,258.0,18.0,santhanuyhalapadu.png,Thalathoti Jaya Ratna Sudhakar Babu,YSRCP,Santhanuthalapadu_sc,0,0,0,1,0,0,0,0
NNNGJHxAYIg,2022-03-10,0.9815468788146972,21839.0,Sakshi,263.0,26.0,santhanuyhalapadu.png,Thalathoti Jaya Ratna Sudhakar Babu,YSRCP,Santhanuthalapadu_sc,0,1,1,1,1,0,1,1
02xkTac5KmM,2022-03-14,-0.9994841814041138,7588.0,Sakshi,182.0,18.0,santhanuyhalapadu.png,Thalathoti Jaya Ratna Sudhakar Babu,YSRCP,Santhanuthalapadu_sc,1,1,1,0,0,1,1,1
nMwBvSLX8IY,2022-03-24,0.9943441152572632,119001.0,Sakshi,467.0,114.0,santhanuyhalapadu.png,Thalathoti Jaya Ratna Sudhakar Babu,YSRCP,Santhanuthalapadu_sc,0,0,0,0,0,0,0,0
cCwYi6rdv5Y,2022-03-24,-0.9975079298019408,2051.0,Sakshi,247.0,1.0,santhanuyhalapadu.png,Thalathoti Jaya Ratna Sudhakar Babu,YSRCP,Santhanuthalapadu_sc,1,1,1,0,0,0,1,1
P0LnERoqQII,2022-03-26,0.9983797073364258,1119.0,Sakshi,420.0,3.0,santhanuyhalapadu.png,Thalathoti Jaya Ratna Sudhakar Babu,YSRCP,Santhanuthalapadu_sc,0,0,0,0,0,0,1,0
y6VlHVc9t-M,2022-05-05,-0.9963775277137756,119680.0,Sakshi,316.0,137.0,santhanuyhalapadu.png,Thalathoti Jaya Ratna Sudhakar Babu,YSRCP,Santhanuthalapadu_sc,1,0,0,0,1,1,0,0
aE87ZC5fPss,2022-06-30,-0.997923731803894,1081.0,Sakshi,467.0,2.0,santhanuyhalapadu.png,Thalathoti Jaya Ratna Sudhakar Babu,YSRCP,Santhanuthalapadu_sc,0,0,1,1,1,0,0,0
-2s2NvrdwV8,2022-08-09,-0.9978606104850768,33926.0,Sakshi,167.0,60.0,santhanuyhalapadu.png,Thalathoti Jaya Ratna Sudhakar Babu,YSRCP,Santhanuthalapadu_sc,1,0,0,1,1,0,0,0
7U6cZ-JZmnk,2022-09-15,-0.9947782754898072,13895.0,TV5,70.0,29.0,santhanuyhalapadu.png,Thalathoti Jaya Ratna Sudhakar Babu,YSRCP,Santhanuthalapadu_sc,1,1,1,1,0,1,1,1
s0uQttCcQb0,2022-09-15,-0.9986203908920288,4511.0,Sakshi,156.0,6.0,santhanuyhalapadu.png,Thalathoti Jaya Ratna Sudhakar Babu,YSRCP,Santhanuthalapadu_sc,1,0,1,0,0,1,1,1
nmfrIb1TwgA,2022-10-13,-0.9986263513565063,2335.0,ABN,161.0,3.0,santhanuyhalapadu.png,Thalathoti Jaya Ratna Sudhakar Babu,YSRCP,Santhanuthalapadu_sc,1,1,0,0,0,0,0,0
n12om6TkCus,2022-10-18,-0.9873513579368592,19814.0,ABN,577.0,29.0,santhanuyhalapadu.png,Thalathoti Jaya Ratna Sudhakar Babu,YSRCP,Santhanuthalapadu_sc,0,0,0,0,0,0,0,0
QXdsMio0pe0,2022-10-19,0.9982423782348632,3417.0,Sakshi,434.0,16.0,santhanuyhalapadu.png,Thalathoti Jaya Ratna Sudhakar Babu,YSRCP,Santhanuthalapadu_sc,0,0,0,0,0,1,0,0
2azkBpcX_A0,2022-10-19,-0.9903621673583984,63260.0,Sakshi,260.0,167.0,santhanuyhalapadu.png,Thalathoti Jaya Ratna Sudhakar Babu,YSRCP,Santhanuthalapadu_sc,0,0,0,1,0,1,0,0
Xrb2MzBFzo8,2022-10-19,-0.99899023771286,3021.0,Sakshi,355.0,13.0,santhanuyhalapadu.png,Thalathoti Jaya Ratna Sudhakar Babu,YSRCP,Santhanuthalapadu_sc,0,0,0,1,1,1,0,1
3Zj019Z55aw,2022-10-22,0.9926409125328064,1517.0,ABN,550.0,2.0,santhanuyhalapadu.png,Thalathoti Jaya Ratna Sudhakar Babu,YSRCP,Santhanuthalapadu_sc,0,0,0,0,0,0,0,0
YvhZFGuY5RA,2022-11-03,-0.9994755387306212,1898.0,ABN,270.0,0.0,santhanuyhalapadu.png,Thalathoti Jaya Ratna Sudhakar Babu,YSRCP,Santhanuthalapadu_sc,0,0,0,0,0,1,0,0
yWLpvOdqvSQ,2022-11-03,-0.9991670846939088,2060.0,ABN,190.0,3.0,santhanuyhalapadu.png,Thalathoti Jaya Ratna Sudhakar Babu,YSRCP,Santhanuthalapadu_sc,0,0,0,0,0,0,0,0
LuCSz1hXRcE,2022-11-05,0.9985421895980836,5146.0,TV5,280.0,7.0,santhanuyhalapadu.png,Thalathoti Jaya Ratna Sudhakar Babu,YSRCP,Santhanuthalapadu_sc,0,0,0,0,0,0,0,0
m3wYLRE4iN8,2022-11-21,-0.9975175857543944,2196.0,TV5,332.0,1.0,santhanuyhalapadu.png,Thalathoti Jaya Ratna Sudhakar Babu,YSRCP,Santhanuthalapadu_sc,0,0,0,0,0,0,0,0
tDE_1mt8xZk,2022-11-25,-0.994252860546112,2484.0,TV9,233.0,2.0,santhanuyhalapadu.png,Thalathoti Jaya Ratna Sudhakar Babu,YSRCP,Santhanuthalapadu_sc,0,1,0,0,0,0,0,0
t6W_B3uivrs,2022-11-26,0.9984637498855592,2952.0,TV9,504.0,4.0,santhanuyhalapadu.png,Thalathoti Jaya Ratna Sudhakar Babu,YSRCP,Santhanuthalapadu_sc,0,0,0,0,0,0,0,0
dV02zA94omc,2022-12-01,-0.9983755350112916,1333.0,ABN,164.0,3.0,santhanuyhalapadu.png,Thalathoti Jaya Ratna Sudhakar Babu,YSRCP,Santhanuthalapadu_sc,0,0,0,0,0,0,0,0
dhWL_QxJDG0,2022-12-06,-0.998915672302246,13179.0,TV5,533.0,18.0,santhanuyhalapadu.png,Thalathoti Jaya Ratna Sudhakar Babu,YSRCP,Santhanuthalapadu_sc,0,0,0,0,0,0,0,0
avq19avlC7s,2022-12-29,0.9877947568893432,2360.0,Sakshi,148.0,8.0,santhanuyhalapadu.png,Thalathoti Jaya Ratna Sudhakar Babu,YSRCP,Santhanuthalapadu_sc,0,0,1,0,1,1,0,0
q1XexlNseas,2023-01-02,0.9930778741836548,935.0,ABN,208.0,6.0,santhanuyhalapadu.png,Thalathoti Jaya Ratna Sudhakar Babu,YSRCP,Santhanuthalapadu_sc,0,0,0,1,0,0,0,0
NgAJBrHaouo,2023-01-02,0.9967485666275024,740.0,ABN,208.0,3.0,santhanuyhalapadu.png,Thalathoti Jaya Ratna Sudhakar Babu,YSRCP,Santhanuthalapadu_sc,0,0,0,1,0,0,0,0
0I_WkskXb-A,2023-01-02,-0.9866118431091307,1054.0,ABN,327.0,11.0,santhanuyhalapadu.png,Thalathoti Jaya Ratna Sudhakar Babu,YSRCP,Santhanuthalapadu_sc,0,0,0,0,0,0,0,0
Q0X3f-JTxC4,2023-01-02,-0.9772555232048036,820.0,ABN,247.0,10.0,santhanuyhalapadu.png,Thalathoti Jaya Ratna Sudhakar Babu,YSRCP,Santhanuthalapadu_sc,0,0,0,0,0,0,0,0
s-VIUnzQ7yA,2023-01-02,-0.9944438338279724,1366.0,ABN,179.0,2.0,santhanuyhalapadu.png,Thalathoti Jaya Ratna Sudhakar Babu,YSRCP,Santhanuthalapadu_sc,0,0,0,0,0,0,0,0
KyJw_eSOAHM,2023-01-02,-0.9983893632888794,1344.0,ABN,142.0,4.0,santhanuyhalapadu.png,Thalathoti Jaya Ratna Sudhakar Babu,YSRCP,Santhanuthalapadu_sc,1,0,0,0,0,0,0,0
A51gy8UFWcY,2023-01-02,-0.8512880802154541,1133.0,ABN,356.0,15.0,santhanuyhalapadu.png,Thalathoti Jaya Ratna Sudhakar Babu,YSRCP,Santhanuthalapadu_sc,0,0,0,0,0,0,1,0
fhjsAapg_QU,2023-01-02,0.9984875917434692,6356.0,ABN,291.0,27.0,santhanuyhalapadu.png,Thalathoti Jaya Ratna Sudhakar Babu,YSRCP,Santhanuthalapadu_sc,0,0,0,0,0,1,0,0
zTBjDxW-A50,2023-01-02,-0.9982884526252748,1176.0,ABN,179.0,4.0,santhanuyhalapadu.png,Thalathoti Jaya Ratna Sudhakar Babu,YSRCP,Santhanuthalapadu_sc,0,0,0,0,0,0,0,0
QyGxitUxYQQ,2023-01-05,0.9947109222412108,27254.0,TV9,493.0,33.0,santhanuyhalapadu.png,Thalathoti Jaya Ratna Sudhakar Babu,YSRCP,Santhanuthalapadu_sc,0,0,0,0,0,0,1,0
bbgh4Rhv0F0,2023-01-21,-0.9897733330726624,864.0,Sakshi,224.0,6.0,santhanuyhalapadu.png,Thalathoti Jaya Ratna Sudhakar Babu,YSRCP,Santhanuthalapadu_sc,0,1,1,1,0,1,0,0
hGkII_Xvgn0,2023-01-28,0.9984309077262878,30522.0,Sakshi,495.0,93.0,santhanuyhalapadu.png,Thalathoti Jaya Ratna Sudhakar Babu,YSRCP,Santhanuthalapadu_sc,0,0,0,0,0,1,0,0
yqdK0esTZcs,2023-01-29,0.9980731010437012,13634.0,TV9,225.0,6.0,santhanuyhalapadu.png,Thalathoti Jaya Ratna Sudhakar Babu,YSRCP,Santhanuthalapadu_sc,0,0,0,0,0,0,0,0
mjGhFOmfz3o,2023-02-01,-0.9958025813102722,64458.0,Sakshi,520.0,136.0,santhanuyhalapadu.png,Thalathoti Jaya Ratna Sudhakar Babu,YSRCP,Santhanuthalapadu_sc,0,0,0,0,1,0,0,0
xFw78XsCumM,2023-02-07,0.9925705790519714,3060.0,TV9,194.0,1.0,santhanuyhalapadu.png,Thalathoti Jaya Ratna Sudhakar Babu,YSRCP,Santhanuthalapadu_sc,0,1,0,0,0,0,0,0
v-9ZZgDbq8g,2023-02-11,0.9977405071258544,8701.0,TV5,320.0,6.0,santhanuyhalapadu.png,Thalathoti Jaya Ratna Sudhakar Babu,YSRCP,Santhanuthalapadu_sc,0,0,0,0,0,0,0,0
2Yd3EsOjrKI,2023-02-14,-0.998426914215088,2423.0,ABN,275.0,6.0,santhanuyhalapadu.png,Thalathoti Jaya Ratna Sudhakar Babu,YSRCP,Santhanuthalapadu_sc,0,0,0,1,0,0,0,0
0mJ86L1s0DE,2023-02-16,-0.9991033673286438,604.0,ABN,599.0,0.0,santhanuyhalapadu.png,Thalathoti Jaya Ratna Sudhakar Babu,YSRCP,Santhanuthalapadu_sc,0,1,1,0,1,1,0,0
ly7Mk-NQQZs,2023-02-20,-0.9901374578475952,25890.0,TV5,210.0,46.0,santhanuyhalapadu.png,Thalathoti Jaya Ratna Sudhakar Babu,YSRCP,Santhanuthalapadu_sc,1,1,1,0,0,0,1,0
O8C8RBuazkw,2023-02-21,-0.9986328482627868,2462.0,TV9,205.0,0.0,santhanuyhalapadu.png,Thalathoti Jaya Ratna Sudhakar Babu,YSRCP,Santhanuthalapadu_sc,0,0,0,0,0,0,0,0
PHUhC-CT4HQ,2023-03-01,-0.996800422668457,5196.0,TV9,203.0,3.0,santhanuyhalapadu.png,Thalathoti Jaya Ratna Sudhakar Babu,YSRCP,Santhanuthalapadu_sc,0,1,1,0,0,0,0,0
KS5QUzQDdYY,2023-03-06,-0.9816259145736694,1290.0,TV9,190.0,0.0,santhanuyhalapadu.png,Thalathoti Jaya Ratna Sudhakar Babu,YSRCP,Santhanuthalapadu_sc,0,0,0,0,0,0,0,0
qDqaTVF0WU8,2023-03-19,-0.9990628361701964,1082.0,TV9,284.0,0.0,santhanuyhalapadu.png,Thalathoti Jaya Ratna Sudhakar Babu,YSRCP,Santhanuthalapadu_sc,0,1,1,0,0,1,0,0
kvGvJWh8GkU,2023-03-20,-0.9991616010665894,9693.0,TV9,244.0,9.0,santhanuyhalapadu.png,Thalathoti Jaya Ratna Sudhakar Babu,YSRCP,Santhanuthalapadu_sc,1,0,0,0,0,0,1,1
iIzEnwBXGo8,2023-03-20,-0.9978973865509032,2605.0,TV9,73.0,8.0,santhanuyhalapadu.png,Thalathoti Jaya Ratna Sudhakar Babu,YSRCP,Santhanuthalapadu_sc,1,0,0,0,0,0,1,1
Lv1ewMXtxBs,2023-03-20,-0.9992021918296814,1286.0,TV9,227.0,2.0,santhanuyhalapadu.png,Thalathoti Jaya Ratna Sudhakar Babu,YSRCP,Santhanuthalapadu_sc,0,0,0,0,0,0,0,1
hdQ0HbIBAa0,2023-03-20,-0.9993749260902404,6030.0,Sakshi,200.0,25.0,santhanuyhalapadu.png,Thalathoti Jaya Ratna Sudhakar Babu,YSRCP,Santhanuthalapadu_sc,1,1,1,1,0,1,0,1
Ocq5XZbi_5E,2023-03-20,-0.9974883794784546,6527.0,Sakshi,203.0,21.0,santhanuyhalapadu.png,Thalathoti Jaya Ratna Sudhakar Babu,YSRCP,Santhanuthalapadu_sc,1,1,1,0,0,1,1,1
6R_fPgX13f0,2023-03-22,-0.9992390871047974,1722.0,TV5,305.0,5.0,santhanuyhalapadu.png,Thalathoti Jaya Ratna Sudhakar Babu,YSRCP,Santhanuthalapadu_sc,0,0,0,1,0,0,0,0
2KhbYF2e8hU,2023-04-03,0.9950409531593324,2626.0,TV5,352.0,6.0,santhanuyhalapadu.png,Thalathoti Jaya Ratna Sudhakar Babu,YSRCP,Santhanuthalapadu_sc,0,0,0,0,0,1,0,0
aQe1lfnFFgE,2023-04-03,0.996581256389618,3213.0,Sakshi,312.0,6.0,santhanuyhalapadu.png,Thalathoti Jaya Ratna Sudhakar Babu,YSRCP,Santhanuthalapadu_sc,0,1,1,0,1,0,0,0
FRtppTyaI-0,2023-04-05,-0.9980097413063048,3538.0,ABN,242.0,5.0,santhanuyhalapadu.png,Thalathoti Jaya Ratna Sudhakar Babu,YSRCP,Santhanuthalapadu_sc,1,1,1,1,0,0,0,0
DiLFK6fKong,2023-04-22,0.9980964064598083,23665.0,Sakshi,42897.0,7.0,santhanuyhalapadu.png,Thalathoti Jaya Ratna Sudhakar Babu,YSRCP,Santhanuthalapadu_sc,0,0,1,0,0,1,0,0
