ids,upload_date,duration,comment_count,view_count,sentiment,uploader,tags,tirupati_l.png,vizianagaram_.png,jaggayyapeta.png,kodur.png,venkatagiri.png,kakinada.png,eluru.png,pulivendula.png,kalayan_durg.png,Venkata_Mahesh.png,paturi_nagabhusnam.png,nandyal_l.png,nandikotkur.png,tekkali.png
Wyvh-UzGF0U,2022-11-13,147.0,0.0,999.0,-0.9993834495544434,TV5,ram gopal varma,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b2jQulV1mmc,2022-09-12,70.0,2.0,4183.0,-0.9980719089508056,TV5,ram gopal varma,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UMrvP7ILgis,2022-03-27,326.0,1.0,2973.0,0.9980177879333496,Sakshi,ram gopal varma,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mrcfKpmjOx4,2022-10-29,320.0,26.0,5581.0,0.998766303062439,TV5,ram gopal varma,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nGnZzG3pKQ4,2023-01-17,172.0,4.0,36924.0,-0.9980515241622924,TV9,ram gopal varma,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NsUZzMaAHbs,2022-10-10,216.0,0.0,740.0,-0.9965499639511108,TV5,ram gopal varma,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TBzMBe1HDrM,2023-01-16,84.0,52.0,24649.0,0.995537281036377,Sakshi,ram gopal varma,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MopNqI-O_k0,2023-01-16,86.0,9.0,1484.0,0.9969075322151184,ABN,ram gopal varma,0,0,0,0,1,0,0,0,0,0,0,0,0,0
TF_k-gID3EY,2023-01-24,21.0,0.0,1259.0,-0.9556719064712524,TV9,ram gopal varma,0,0,0,0,0,0,0,0,0,0,0,0,0,0
uQ4U306fLDQ,2022-11-21,141.0,1.0,980.0,-0.996269941329956,ABN,ram gopal varma,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Y1Ky7vPf1Fw,2022-09-16,255.0,1.0,1230.0,-0.9922635555267334,TV5,ram gopal varma,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ha1USBTlhUA,2021-09-13,521.0,6.0,5169.0,-0.9895756244659424,Sakshi,ram gopal varma,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jVZbX3MpqP8,2023-02-09,77.0,0.0,404.0,0.9982596039772034,ABN,ram gopal varma,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vhhV3TpmuzU,2022-11-08,221.0,4.0,1119.0,-0.9920280575752258,ABN,ram gopal varma,0,0,0,0,0,0,0,0,0,0,0,0,0,1
tby0xJOrxyM,2023-01-11,2865.0,4.0,3417.0,-0.9877960681915284,ABN,ram gopal varma,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4DfUflO0HjA,2022-11-26,187.0,6.0,2512.0,-0.9930301308631896,TV5,ram gopal varma,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0YepRmVIAJE,2022-12-27,363.0,0.0,695.0,0.9983686804771424,TV9,ram gopal varma,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-4spwTR3y1E,2022-10-29,200.0,55.0,12027.0,-0.9984551668167114,TV5,ram gopal varma,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2epMA6cru7A,2021-02-20,239.0,0.0,1293.0,0.9973590970039368,Sakshi,ram gopal varma,0,0,0,0,0,0,0,0,0,0,1,0,0,0
WaOofG-fZxA,2022-12-21,456.0,0.0,3586.0,-0.999357521533966,ABN,ram gopal varma,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jmwJ738anpw,2022-10-16,64.0,2.0,9731.0,0.9881762266159058,TV5,ram gopal varma,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3bpHcsDiwO4,2023-01-10,104.0,2.0,874.0,-0.9988672733306884,TV5,ram gopal varma,0,1,1,1,0,0,0,0,0,0,0,0,0,0
04y3WqKpJ18,2022-10-16,264.0,3.0,1270.0,0.9951032400131226,ABN,ram gopal varma,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29USEWpA2IE,2021-07-23,299.0,4.0,7953.0,0.991755485534668,Sakshi,ram gopal varma,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gJtyy8CX_u8,2022-12-06,225.0,0.0,2808.0,-0.9983162879943848,TV9,ram gopal varma,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SQKKncbqTlM,2022-09-12,70.0,2.0,4049.0,0.99648916721344,TV5,ram gopal varma,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fbR_CRcKPQU,2021-02-21,319.0,2.0,6558.0,0.9983177185058594,Sakshi,ram gopal varma,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F3Qsx8T4QwA,2022-09-12,160.0,1.0,5434.0,-0.9944503307342528,TV5,ram gopal varma,0,1,0,0,0,0,0,0,0,0,0,0,0,0
so1Wmoc6aNw,2022-10-18,365.0,1.0,4934.0,-0.9973430037498474,TV5,ram gopal varma,0,0,0,0,0,0,0,0,1,0,0,0,0,0
U6S0GzocGHM,2022-09-24,210.0,2.0,850.0,0.9986282587051392,TV5,ram gopal varma,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XBoqyzc9y70,2023-01-22,148.0,16.0,31427.0,-0.9976939558982848,TV5,ram gopal varma,0,1,1,0,1,0,1,0,1,1,0,0,1,0
slUVvjwznZ0,2022-11-21,57.0,6.0,2951.0,0.9981574416160583,TV9,ram gopal varma,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YAlnVWgsCL4,2022-10-31,290.0,9.0,4123.0,-0.9903784990310668,ABN,ram gopal varma,0,1,0,0,0,0,0,0,0,0,1,0,0,0
Jic4Mo91tZQ,2023-01-03,270.0,0.0,3193.0,-0.9966942071914672,TV9,ram gopal varma,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IK2JTM37Lh0,2022-11-23,293.0,3.0,3015.0,0.9866238236427308,TV9,ram gopal varma,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cipHsZhUfVo,2022-10-27,8261.0,15.0,22363.0,0.9960920214653016,TV5,ram gopal varma,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QcPPJ9QvXTY,2023-01-06,270.0,20.0,11597.0,0.9979292154312134,TV5,ram gopal varma,1,0,0,1,1,0,0,0,0,0,0,0,0,0
eL7-oExTS9Q,2023-01-06,260.0,3.0,2278.0,-0.993150532245636,TV5,ram gopal varma,1,1,0,1,1,0,0,0,0,0,0,0,0,0
Z9RUpVLEIro,2021-02-15,196.0,10.0,4008.0,0.9924942255020142,Sakshi,ram gopal varma,0,0,0,0,0,0,0,1,0,1,0,0,0,0
gM1g96ZIhCs,2022-12-16,225.0,0.0,785.0,-0.9970499277114868,ABN,ram gopal varma,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0C_e0rChWmM,2022-12-06,321.0,2.0,3254.0,-0.9985764026641846,TV9,ram gopal varma,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lKpLSRhFL7g,2022-10-31,117.0,0.0,443.0,0.9978054165840148,ABN,ram gopal varma,0,0,0,0,0,0,0,0,1,0,0,0,0,0
g9c4mIs7O_Y,2022-12-31,304.0,91.0,24912.0,-0.9988314509391784,TV9,ram gopal varma,0,0,0,0,0,0,1,0,0,0,0,0,0,0
dfdMoQpyj5Q,2023-01-14,492.0,8.0,39446.0,-0.9678807854652404,ABN,ram gopal varma,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rb4nrgdBgm0,2022-09-15,324.0,4.0,4436.0,-0.9978528022766112,TV5,ram gopal varma,0,0,0,0,1,0,0,0,1,0,1,0,0,0
IpTHlm6XKMM,2022-12-21,276.0,5.0,1580.0,0.9987552165985109,Sakshi,ram gopal varma,0,0,0,0,0,0,1,1,1,0,0,0,0,1
JzHnoExM_D8,2022-11-15,92.0,0.0,2306.0,0.9960149526596068,TV5,ram gopal varma,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2PK9KiIGyFk,2022-11-02,185.0,0.0,368.0,-0.9978125095367432,ABN,ram gopal varma,0,0,0,0,0,0,0,0,0,0,0,0,0,0
J4NPmkv27ls,2023-01-19,199.0,2.0,22543.0,-0.994531512260437,TV9,ram gopal varma,0,0,0,0,0,0,0,0,0,0,0,0,0,0
difUpiwr4no,2023-02-09,285.0,27.0,8766.0,0.9974693059921264,ABN,ram gopal varma,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04MES9DurT4,2023-02-10,260.0,0.0,1978.0,-0.990069568157196,ABN,ram gopal varma,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dGwBJdDWVtY,2022-12-28,213.0,1.0,2318.0,0.9931395649909972,TV9,ram gopal varma,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84QAAzx2S0w,2022-10-27,430.0,3.0,883.0,-0.9984922409057616,ABN,ram gopal varma,0,0,0,0,0,0,0,0,0,0,0,0,0,1
YX2F3vSISoM,2019-12-21,283.0,0.0,1516.0,0.9983395338058472,Sakshi,ram gopal varma,0,0,0,0,0,0,0,1,0,0,0,0,0,0
bxMUxY9lnlo,2023-01-01,277.0,0.0,3135.0,-0.9962235689163208,Sakshi,ram gopal varma,0,1,0,0,1,1,0,0,1,1,0,0,0,0
6Pywy9vBucA,2022-10-29,155.0,14.0,4614.0,-0.9992419481277466,TV5,ram gopal varma,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fw2w2oiWA8Y,2023-02-10,78.0,1.0,423.0,0.9518786072731018,ABN,ram gopal varma,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rI5mTIaVerg,2022-04-06,79.0,39.0,33208.0,0.9967681169509888,Sakshi,ram gopal varma,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0zMK1gpbdpA,2022-09-12,34745.0,2.0,14851.0,0.9955346584320068,TV5,ram gopal varma,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QLZxb10_9Q4,2021-02-21,226.0,1.0,845.0,0.9984815716743468,Sakshi,ram gopal varma,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wuEkxoVFOvk,2023-01-22,295.0,48.0,25094.0,0.9976237416267396,TV5,ram gopal varma,0,0,0,0,0,0,0,0,0,0,0,1,0,0
fH_8vbKXCOM,2022-11-25,224.0,8.0,2445.0,0.9962555170059204,TV9,ram gopal varma,0,0,0,0,0,0,0,0,0,0,1,0,0,0
sKHNl206as8,2019-12-21,104.0,0.0,503.0,0.9984605312347412,Sakshi,ram gopal varma,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OGelxB0tgIk,2022-10-04,111.0,16.0,2172.0,0.997655749320984,TV5,ram gopal varma,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7KyKWG9NX38,2022-10-26,373.0,23.0,5287.0,0.9974933862686156,ABN,ram gopal varma,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mQnHSJL-cZA,2023-02-24,334.0,0.0,1005051.0,0.988470196723938,TV9,ram gopal varma,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LIbSq65Wba4,2023-03-19,346.0,0.0,2454.0,0.9904049634933472,TV9,ram gopal varma,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64YVyovC6Xc,2023-03-08,296.0,37.0,12806.0,-0.9980921149253844,ABN,ram gopal varma,0,0,0,0,0,0,0,0,0,0,0,0,0,0
o9-F7I7i5q8,2022-12-08,362.0,36.0,20652.0,-0.9964115023612976,TV9,ram gopal varma,0,0,0,0,0,0,0,0,0,0,0,0,0,1
OlTwJgzVOTk,2022-10-28,455.0,0.0,196562.0,-0.9983034133911132,TV5,ram gopal varma,0,0,0,1,0,0,0,0,0,0,0,1,0,1
fT7ydmhaJ7M,2022-10-04,226.0,2.0,612.0,0.9902015328407288,TV5,ram gopal varma,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bd-P-tjs_sI,2022-01-04,129.0,0.0,941274.0,0.996086835861206,Sakshi,ram gopal varma,0,0,0,0,0,0,0,1,0,1,0,0,0,1
l3XjT6ogbv0,2023-03-08,237.0,43.0,23083.0,-0.9984022974967957,Sakshi,ram gopal varma,0,1,0,1,1,0,0,0,0,0,0,0,0,0
kWPQZ4rlE8A,2023-02-24,301.0,210.0,122239.0,-0.987321138381958,TV9,ram gopal varma,0,0,0,0,0,0,1,0,0,0,0,0,0,0
PlilqosM37s,2023-04-14,203.0,21.0,13195.0,-0.9987254738807678,TV9,ram gopal varma,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TrOPjCuRVk4,2023-01-15,79.0,55.0,45817.0,0.9978981018066406,TV9,ram gopal varma,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Id39UlUvKUU,2022-11-25,208.0,0.0,58301.0,-0.996977686882019,TV9,ram gopal varma,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tl5GQGLo61c,2023-03-13,56.0,0.0,10381.0,-0.9931817650794984,TV9,ram gopal varma,0,0,0,0,0,0,0,0,0,0,0,1,0,0
n_KxFDik0GI,2022-08-29,277.0,27.0,6454.0,-0.9944104552268982,TV5,ram gopal varma,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I-n6LNq5Wuo,2023-01-15,65.0,2.0,1847.0,-0.9976435303688048,ABN,ram gopal varma,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTBHyjHnw2I,2023-02-23,196.0,7.0,1264.0,0.9727817177772522,ABN,ram gopal varma,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Jhkv5r4LAW8,2020-03-10,331.0,127.0,62211.0,-0.9973238706588744,Sakshi,ram gopal varma,0,0,0,0,0,0,0,0,0,0,0,0,0,0
xFLJJalYyTA,2021-02-17,180.0,0.0,2723.0,0.9986616373062134,Sakshi,ram gopal varma,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K7lOZllEDfk,2023-02-24,300.0,12.0,14205.0,0.9889969825744628,TV9,ram gopal varma,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6ZvumiOod9g,2022-09-12,200.0,2.0,7185.0,0.9969176054000854,TV5,ram gopal varma,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JZR0VBihCYc,2023-03-31,266.0,1.0,942.0,0.995534896850586,TV9,ram gopal varma,0,1,1,0,1,1,0,0,0,1,1,0,1,0
rUa5HhcDH5w,2023-04-05,125.0,1.0,1427.0,0.9977287650108336,TV9,ram gopal varma,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NAM49o3xNQ8,2023-01-07,274.0,7.0,7262.0,-0.9967904686927797,ABN,ram gopal varma,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-id3-nximx8,2023-03-26,324.0,13.0,12219.0,-0.9968292117118835,TV9,ram gopal varma,0,0,0,0,1,0,0,0,0,0,0,0,0,0
YF480odk65E,2022-10-29,214.0,281.0,91500.0,-0.9987730383872986,Sakshi,ram gopal varma,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SO2Y6lBUYDA,2022-09-14,70.0,0.0,828.0,-0.99519944190979,TV5,ram gopal varma,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aa_cqoRa73k,2022-12-06,345.0,0.0,2668.0,-0.9969273209571838,ABN,ram gopal varma,0,0,0,0,0,0,0,0,0,0,0,0,0,0
htJLoTevw48,2023-03-24,185.0,7.0,776.0,-0.9981405735015868,ABN,ram gopal varma,0,1,0,0,0,0,0,0,0,0,0,0,1,0
bwPI6Cws5kw,2023-04-18,77.0,0.0,544.0,0.9985365867614746,TV9,ram gopal varma,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0tS07kloNr0,2022-12-26,133.0,1.0,3897.0,0.9963313937187196,TV9,ram gopal varma,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8mpHD7y4i9E,2023-01-06,155.0,2.0,1997.0,0.9956824779510498,TV5,ram gopal varma,1,1,0,0,1,0,0,0,0,0,0,0,0,0
t_lPzAk56SM,2021-02-20,213.0,0.0,2274.0,0.998498558998108,Sakshi,ram gopal varma,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TLX0-q9mKcQ,2022-12-01,231.0,2.0,22348.0,-0.9966452717781068,TV9,ram gopal varma,0,1,1,0,0,0,0,0,0,0,0,0,0,0
R-L7porezWU,2023-03-11,266.0,7.0,1009.0,-0.9978339076042176,TV9,ram gopal varma,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s2w9_UIVTec,2023-03-30,345.0,1.0,859.0,0.9928387999534608,TV9,ram gopal varma,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DF0Cc-bkyv0,2023-02-12,316.0,34.0,48267.0,0.9969791173934937,TV5,ram gopal varma,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12Y2i5kfIk8,2022-09-01,279.0,4.0,3053.0,-0.9944551587104796,Sakshi,ram gopal varma,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LzU_NUVuoFA,2023-02-24,130.0,12.0,12202.0,-0.9965233206748962,TV9,ram gopal varma,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E0HzgKdXbyI,2022-10-03,595.0,0.0,1039.0,0.998230278491974,TV5,ram gopal varma,0,0,0,0,0,0,0,0,0,0,0,0,0,0
my27VKpC8GM,2023-04-18,301.0,0.0,2359.0,-0.9894830584526062,TV9,ram gopal varma,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fkLFm2cj7ck,2023-03-26,70.0,1.0,2743.0,-0.997660517692566,TV9,ram gopal varma,0,0,0,0,0,0,0,0,0,0,0,0,0,0
snqf9RzsQKs,2023-04-09,263.0,1.0,3664.0,-0.9994114637374878,TV9,ram gopal varma,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QjpyxzjLe_s,2023-03-21,136.0,28.0,5852.0,0.9952978491783142,Sakshi,ram gopal varma,0,0,0,0,0,0,0,1,0,0,0,0,0,0
cbacQ77spio,2023-03-13,219.0,11.0,29839.0,-0.9994353652000428,ABN,ram gopal varma,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TDsMzGOO7QA,2022-12-20,204.0,18.0,21626.0,-0.993137001991272,TV9,ram gopal varma,0,0,0,0,1,0,1,0,0,1,0,0,0,0
m1XBnBF8ghU,2023-01-06,215.0,2.0,1008.0,0.9975237250328064,TV5,ram gopal varma,1,1,0,1,1,0,1,0,0,0,0,0,0,0
AZIc9f6HBhY,2021-02-15,186.0,0.0,1664.0,0.9921661615371704,Sakshi,ram gopal varma,0,0,0,0,0,0,0,0,0,0,0,0,0,0
_uZVYBj11xA,2022-10-28,130.0,9.0,1839.0,-0.9989235997200012,TV5,ram gopal varma,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wCwpGeSRuWg,2023-02-28,134.0,1.0,251.0,-0.99650239944458,ABN,ram gopal varma,0,0,0,1,1,0,0,0,0,0,0,0,0,0
qchdj2YqKvY,2021-02-15,191.0,0.0,2025.0,0.9966338276863098,Sakshi,ram gopal varma,0,0,0,1,0,0,0,0,0,0,0,0,0,0
dVZTQdQbeOA,2023-04-21,301.0,7.0,14174.0,0.9863329529762268,ABN,ram gopal varma,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5saaVDuDINM,2022-12-20,288.0,2.0,2468.0,0.9768590331077576,TV9,ram gopal varma,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g4mbmywWF4Y,2023-03-22,252.0,4.0,3192.0,0.9973052740097046,TV9,ram gopal varma,0,0,0,0,0,0,0,0,0,0,0,0,0,0
qnSxllO1SQE,2019-12-26,143.0,0.0,452.0,0.9781021475791932,Sakshi,ram gopal varma,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IK1OMpEMgbs,2022-11-21,220.0,37.0,10140.0,-0.9984514713287354,TV5,ram gopal varma,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JE8zz-8CMjw,2022-10-13,221.0,1.0,1127.0,-0.998136043548584,TV5,ram gopal varma,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S9npJYigyW0,2022-11-27,68.0,0.0,1156.0,-0.9908213019371032,TV9,ram gopal varma,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AUASo7W9bw8,2023-04-10,250.0,0.0,943.0,-0.9962784647941588,ABN,ram gopal varma,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tmULZ0eJxvg,2022-10-29,280.0,168.0,56360.0,0.9850864410400392,TV5,ram gopal varma,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kC_v-fIqJLE,2022-11-21,188.0,2.0,12016.0,0.994716227054596,TV9,ram gopal varma,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CVb_u6J0Mzc,2021-02-13,209.0,0.0,3128.0,0.9985673427581788,Sakshi,ram gopal varma,0,0,0,0,0,0,0,0,0,0,0,0,0,0
l3OPAZoN4h4,2023-04-02,154.0,3.0,1175.0,-0.9982131719589232,TV5,ram gopal varma,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dUM2QL4G4tA,2023-03-08,226.0,0.0,46766.0,-0.9899062514305116,TV9,ram gopal varma,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Em3u_uZU5ls,2023-01-09,345.0,67.0,25025.0,-0.9990999698638916,TV9,ram gopal varma,1,1,0,1,1,0,1,0,0,0,0,0,0,0
wnlj5OWcGsE,2023-02-22,87.0,2.0,7830.0,0.99704247713089,ABN,ram gopal varma,0,0,0,0,0,0,0,0,0,0,0,0,0,0
xG9Q9g5mmF4,2022-12-09,245.0,4.0,2185.0,-0.9947564601898192,ABN,ram gopal varma,0,0,0,0,0,0,0,0,0,0,0,1,0,0
7dmqPX8jjGE,2022-09-12,101.0,4.0,1967.0,-0.991845428943634,TV5,ram gopal varma,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s7x19QPQZc0,2023-03-12,264.0,0.0,586.0,0.9973426461219788,TV9,ram gopal varma,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ruLx3qIXJ1k,2022-10-28,280.0,8.0,2519.0,-0.997811496257782,TV5,ram gopal varma,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4bN3SfpsQwk,2022-10-22,317.0,2.0,739.0,0.9960745573043824,TV5,ram gopal varma,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eqsp8MEc9fo,2022-10-12,316.0,42.0,15494.0,0.998273491859436,TV5,ram gopal varma,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lbgMC-9IoNs,2022-01-12,109.0,28.0,18497.0,0.9969512224197388,Sakshi,ram gopal varma,1,0,0,0,0,0,0,0,0,0,0,0,0,0
dtULw7y_7O8,2023-03-01,211.0,0.0,338.0,-0.9970839619636536,TV5,ram gopal varma,0,0,0,0,0,0,0,0,0,0,0,0,1,1
OPNncPL5-Po,2023-02-14,299.0,3.0,3051.0,-0.997239112854004,ABN,ram gopal varma,0,0,0,0,0,0,0,0,0,0,0,0,0,0
oEzxh6HajwQ,2022-07-15,92.0,39.0,37157.0,0.9983589053153992,Sakshi,ram gopal varma,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DR5EMqmZQ3A,2022-10-29,42897.0,22.0,72446.0,0.9983689188957214,TV5,ram gopal varma,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nkep4oy7POI,2023-01-31,345.0,51.0,71559.0,-0.9976654052734376,ABN,ram gopal varma,0,0,0,0,0,0,0,1,0,0,0,0,1,0
